text,star,app_id,reviewDate,Scores,grammar_scores
I've been ordering here for years. Updated to say its still pretty good in 2021,5,com.alibaba.aliexpresshd,18/03/21,161.6463,67.67073974609374
Why is Alixpress customer service not Available. Like I don't understand please Please reply me,1,com.alibaba.aliexpresshd,18/03/21,445.92706,10.814587402343745
Very useful app,5,com.alibaba.aliexpresshd,18/03/21,2979.6462,0.0
Excellent products and speed of shipments.,5,com.alibaba.aliexpresshd,18/03/21,223.84706,55.2305877685547
"Fast, simple to use. Best shipping I know of. Everything you can imagine on electronics is there and there are quite a few amazing, unknown to the US items --- really worth it. This is the ONLY app from which in never mind getting ads!",5,com.alibaba.aliexpresshd,18/03/21,127.14811,74.57037811279297
 ,5,com.alibaba.aliexpresshd,18/03/21,,0.0
Love the possibilities of the app. Working wel.,5,com.alibaba.aliexpresshd,18/03/21,383.18878,23.36224365234375
Great,4,com.alibaba.aliexpresshd,18/03/21,,0.0
I Love AliExpress and All Sellers in AliExpress No Scam Zone,5,com.alibaba.aliexpresshd,18/03/21,650.19946,0.0
I have ordered severally using the app and its very reliable shipping is fast anf what you order is what you get,5,com.alibaba.aliexpresshd,18/03/21,247.90825,50.41835021972656
The search engine needs work. Doesn't work as well as I'd like. A lot of useless items come up in a search that has none of the words I searched for in the title.,3,com.alibaba.aliexpresshd,18/03/21,31.213747,93.75725059509278
Great,5,com.alibaba.aliexpresshd,18/03/21,,0.0
Good but late,3,com.alibaba.aliexpresshd,18/03/21,2558.8137,0.0
This app is great for finding stuff at somewhat reasonable prices. But just like wish they start to progressively stop sending your products within the scheduled time or don't send them at all. Once a dispute is brought up the seller's want to lie about ETAs. I done with this app. Since Covid-19 they have making any excuse to not send your items. Tracking numbers do not track the package. Genuinely done with this app after my previous orders arrive or if they ever do.,1,com.alibaba.aliexpresshd,18/03/21,121.9994,75.6001205444336
"Very reasonable shipping times to the USA. If you own a computer business as I do, AliExpress is a must.",5,com.alibaba.aliexpresshd,18/03/21,64.30608,87.13878326416015
Fun fun fun,5,com.alibaba.aliexpresshd,18/03/21,1473.5204,0.0
Very good app,5,com.alibaba.aliexpresshd,18/03/21,1434.0099,0.0
Is incredible...,5,com.alibaba.aliexpresshd,18/03/21,4856.3105,0.0
Very good,3,com.alibaba.aliexpresshd,18/03/21,405.59375,18.881250000000005
Great honest app..,4,com.alibaba.aliexpresshd,18/03/21,6885.667,0.0
"App itself is good, easy to use and with loads of inexpensive items to buy, but gets 2 stars. The app is just one part of it. The other part is the service and delivery of things you have bought. Unfortunately this side of AliExpress is very poor. 2 months of waiting for purchases to arrive so far... if you want an item quick forget this and go to a local shop. You do have different freight options but these are pricey and so nullify any savings you may make.",2,com.alibaba.aliexpresshd,18/03/21,47.924,90.4152000427246
I can't live without Ali Express ido alot of shopping,5,com.alibaba.aliexpresshd,18/03/21,1493.3224,0.0
 ,5,com.alibaba.aliexpresshd,18/03/21,,0.0
Would have given 5 stars if Cash on delivery option was available..,1,com.alibaba.aliexpresshd,18/03/21,245.67352,50.86529541015625
Nice app,5,com.alibaba.aliexpresshd,18/03/21,16875.332,0.0
Produtos variados e com timo preo. Mas o tempo de espera para chegar o produto na sua casa... Vish!,4,com.alibaba.aliexpresshd,18/03/21,434.72937,13.054125976562503
"So far so good,got items on time",5,com.alibaba.aliexpresshd,18/03/21,617.38525,0.0
Amazing app. Best place to purchase your product internationally,5,com.alibaba.aliexpresshd,18/03/21,217.60486,56.47902832031251
Ali express is great. Sometimes orders take a very long time but I'm ok with it as long as my things arrive when it says .,5,com.alibaba.aliexpresshd,18/03/21,73.743225,85.25135498046875
"Love this app. Some things take awhile to receive, that is clearly stated on items that are ordered.",5,com.alibaba.aliexpresshd,18/03/21,92.717,81.45659942626952
Fast delivery,5,com.alibaba.aliexpresshd,18/03/21,22998.963,0.0
"Some shipments take long, and most of the things they sell is cheap but i really like this app because the stuff is cheap depending on what you order :)",4,com.alibaba.aliexpresshd,18/03/21,83.83357,83.23328552246095
 ,5,com.alibaba.aliexpresshd,18/03/21,,0.0
YOU NOOB NO LEGO POLICE BOAY 60045,1,com.alibaba.aliexpresshd,18/03/21,4618.2134,0.0
Too many problems with service. I am done. Not an easy solution and prices are about same as Amazon for same prices..and better problem resolution,2,com.alibaba.aliexpresshd,18/03/21,197.40442,60.519116210937504
This App Really Makes Shopping Easy and Fun,5,com.alibaba.aliexpresshd,18/03/21,476.77863,4.6442749023437475
Excellent,5,com.alibaba.aliexpresshd,18/03/21,,0.0
Am very happy to use this app everything is straight forward and deliveries are quick,5,com.alibaba.aliexpresshd,18/03/21,108.44784,78.31043243408203
got credit card fraud the next day after my first purchase. But yea what do I expect on a cheap website.,1,com.alibaba.aliexpresshd,18/03/21,95.97633,80.80473327636719
Very nice app,5,com.alibaba.aliexpresshd,18/03/21,2618.0583,0.0
Very easy app to use. Lots to choose from.,5,com.alibaba.aliexpresshd,18/03/21,36.05011,92.78997802734375
"Theres one item that i didnt get, but i still like this better than others apps.",5,com.alibaba.aliexpresshd,18/03/21,84.75345,83.04931030273437
With time I will give it 5 stars Started using it not quite long,3,com.alibaba.aliexpresshd,18/03/21,267.13083,46.57383422851562
"All I can say is I LOVE LOVE LOVE ALIEXPRESS, the prices are great and if you shop around you can find the same item sold by different sellers, some cheaper, with free shipping and some are better quality than others - ALWAYS CHECK OUT REVIEWS THEY HELP SO MUCH!!! - Well worth the wait for shipping. Vendors are great and if there is a problem (which doesn't happen much), AliExpress works with purchasers and refunds cost including shipping if appropriate.",5,com.alibaba.aliexpresshd,18/03/21,48.10787,90.37842636108398
Amazing,5,com.alibaba.aliexpresshd,18/03/21,,0.0
For the years I've been on AliExpress I've ONLY had a handful of negative experiences. The overall experience has been positive. Let's hope they keep it going in a great direction,5,com.alibaba.aliexpresshd,18/03/21,29.713234,94.05735321044922
I liked spending time on this app as it has a variety of products to offer...you can buy anything of your choice and interest sitting at home.. different sales days and promotions also make it more attractive for someone who loves to shop economically...but can you please provide us the facility of cash on delivery. ?,4,com.alibaba.aliexpresshd,18/03/21,93.90409,81.21918182373047
Good,4,com.alibaba.aliexpresshd,18/03/21,,0.0
Nice,5,com.alibaba.aliexpresshd,18/03/21,,0.0
My favourite app,5,com.alibaba.aliexpresshd,18/03/21,2583.481,0.0
Great service.,5,com.alibaba.aliexpresshd,18/03/21,217.5202,56.495959472656246
Good deals but too long shipping time could it be Faster ??,4,com.alibaba.aliexpresshd,18/03/21,774.094,0.0
Awesome,1,com.alibaba.aliexpresshd,18/03/21,,0.0
I'm very satisfied with their service. This is the best online shopping app I have used so far. Highly recommend,5,com.alibaba.aliexpresshd,18/03/21,15.938914,96.81221714019776
"Was enjoying the app initially but now its a total mess, you order something, the seller sends incomplete items and you can neither open dispute, send the seller a message nor contact the support team. You just end up losing your money!This is very irresponsible of Ali express in short thus is cheating!",2,com.alibaba.aliexpresshd,18/03/21,128.95981,74.20803833007812
"The delivery is extremely poor! very poor indeed.Even if an order is delivered by foot from overseas, it cant surely take over 4 months.Other online business platforms like kilmall are exemplary. Ali Express you need to have a total turnaround.",1,com.alibaba.aliexpresshd,18/03/21,217.63298,56.47340393066407
Package was in perfect condition. Shipping was faster than expected..,4,com.alibaba.aliexpresshd,18/03/21,46.72689,90.65462188720703
New customer. Little bit wary at first but no real worries as my few items are small and low value. So far the first one arrived today. I ordered it 5 weeks ago but the tracking info on the app is pretty informative. Waiting on the others...,5,com.alibaba.aliexpresshd,18/03/21,65.81647,86.83670654296876
 ,5,com.alibaba.aliexpresshd,18/03/21,,0.0
Fair and good,4,com.alibaba.aliexpresshd,18/03/21,201.18837,59.76232604980469
Amazing,5,com.alibaba.aliexpresshd,18/03/21,,0.0
So reliable.,5,com.alibaba.aliexpresshd,18/03/21,687.0934,0.0
Very nice,5,com.alibaba.aliexpresshd,18/03/21,3656.4863,0.0
Worst customer support. Bloody robot dont let you chat with agent and doesn't answer to queries. Disputes are pending from three months but Aliexpress is sleeping,1,com.alibaba.aliexpresshd,18/03/21,300.3875,39.92249755859375
Awesome and user friendly,5,com.alibaba.aliexpresshd,18/03/21,63.698166,87.26036682128905
Useless.. fake,1,com.alibaba.aliexpresshd,18/03/21,41610.684,0.0
Super,5,com.alibaba.aliexpresshd,18/03/21,,0.0
Love it,5,com.alibaba.aliexpresshd,18/03/21,267.64337,46.47132568359375
Great,5,com.alibaba.aliexpresshd,18/03/21,,0.0
Excellent,5,com.alibaba.aliexpresshd,18/03/21,,0.0
"They have really good stuff, I've just had a lot of problems with shipping :( It usually takes 2-3 months to get something delivered.",4,com.alibaba.aliexpresshd,18/03/21,27.671812,94.46563758850097
Amazing selection,5,com.alibaba.aliexpresshd,18/03/21,12777.65,0.0
Totally satisfied with shipping time and product's in which I have purchased.,5,com.alibaba.aliexpresshd,18/03/21,126.454475,74.70910491943359
Very good,5,com.alibaba.aliexpresshd,18/03/21,405.59375,18.881250000000005
Very good Shopping Apps,5,com.alibaba.aliexpresshd,18/03/21,36411.492,0.0
Is ok,4,com.alibaba.aliexpresshd,18/03/21,39764.266,0.0
 ,5,com.alibaba.aliexpresshd,18/03/21,,0.0
 ,5,com.alibaba.aliexpresshd,18/03/21,,0.0
Good app you can get anything you want at any store at your convenience time,5,com.alibaba.aliexpresshd,18/03/21,86.016594,82.7966812133789
Best app,5,com.alibaba.aliexpresshd,18/03/21,10928.356,0.0
Very bad experience buying in this platform. Delivery is often more than 30 days and up to 55 days. Dispute is handled by robot and no real people behind it. Return shipping for faulty item is paid by the buyer and most of the time is expensive and not worth it. The price published for a product is often based on the lowest forex rate so that the item look cheaper. So many manipulations inside this platform. I would advise anyone not to buy from this platform.There are better platforms out there,1,com.alibaba.aliexpresshd,18/03/21,47.005573,90.598885345459
I just had an amazing experience with AliExpress,5,com.alibaba.aliexpresshd,18/03/21,70.478,85.90440063476564
Very good site easy to use,5,com.alibaba.aliexpresshd,18/03/21,288.9654,42.206921386718754
"Yep really good until use it a few more times. Thanks. Tony,",3,com.alibaba.aliexpresshd,18/03/21,113.50775,77.29844970703125
Trusted and reliable Fast and cheap Accurate and sure,5,com.alibaba.aliexpresshd,18/03/21,246.79294,50.641412353515626
Very useful,5,com.alibaba.aliexpresshd,18/03/21,5888.2246,0.0
"The app is convenient but, items are too small to see correctly. This makes it hard to choose the right colors. The app is a little difficult. I also encountered a clip of porn in one of the product streams. I like using the computer better than the app.",3,com.alibaba.aliexpresshd,18/03/21,46.294895,90.74102096557617
I love how they have so many products!,5,com.alibaba.aliexpresshd,18/03/21,65.9957,86.80086059570313
Good,5,com.alibaba.aliexpresshd,18/03/21,,0.0
Easy to look for anything needed,5,com.alibaba.aliexpresshd,18/03/21,341.82605,31.634790039062498
nice,5,com.alibaba.aliexpresshd,18/03/21,,0.0
Its good,4,com.yahoo.mobile.client.android.mail,18/03/21,1655.6984,0.0
Excellent,5,com.yahoo.mobile.client.android.mail,18/03/21,,0.0
It's simply the best,5,com.yahoo.mobile.client.android.mail,18/03/21,52.05111,89.58977813720703
"Yeah, it's alright",4,com.yahoo.mobile.client.android.mail,18/03/21,18.432442,96.31351165771484
I am using yahoo more than 15 years and happy to use it in the future. Thank yahoo.,5,com.yahoo.mobile.client.android.mail,18/03/21,47.91877,90.41624603271484
Convenient,4,com.yahoo.mobile.client.android.mail,18/03/21,24216.246,0.0
Works for me.,5,com.yahoo.mobile.client.android.mail,18/03/21,75.47651,84.90469818115234
Very good,5,com.yahoo.mobile.client.android.mail,18/03/21,405.59375,18.881250000000005
Easy to work and read,5,com.yahoo.mobile.client.android.mail,18/03/21,119.39455,76.12109069824218
Great!,5,com.yahoo.mobile.client.android.mail,18/03/21,621.4648,0.0
I order all the time from Affirm their pretty reasonable and their fair,5,com.yahoo.mobile.client.android.mail,18/03/21,543.7389,0.0
Great!,5,com.yahoo.mobile.client.android.mail,18/03/21,621.4648,0.0
Very effective and quick,5,com.yahoo.mobile.client.android.mail,18/03/21,217.90546,56.418908691406244
"This is absolutely the worst email app out there. I'm very disappointed I actually thought that Yahoo after all these years would have had their act together when it came to providing good reliable and fast and accurate email. Just to give you a for instance when I try to delete an email, I can't get rid of it, and it takes two or three tries before it's finally deleted. This email app by Yahoo has a lot of glitches and bugs in it. The bottom line is I don't recommend that you install this.",1,com.yahoo.mobile.client.android.mail,18/03/21,21.194468,95.76110649108887
It's email...,4,com.yahoo.mobile.client.android.mail,18/03/21,1055.0222,0.0
I can't open links on my email I have updated and reinstall it and still having trouble trying to open a link on a email li yes I do have Tmobile but I never had problems with it,1,com.yahoo.mobile.client.android.mail,18/03/21,112.67186,77.4656280517578
Its working satisfactory.,5,com.yahoo.mobile.client.android.mail,18/03/21,2940.4868,0.0
Very satisfied,4,com.yahoo.mobile.client.android.mail,18/03/21,12999.718,0.0
Serves my needs very well.,4,com.yahoo.mobile.client.android.mail,18/03/21,146.23929,70.75214233398437
Good experience,5,com.yahoo.mobile.client.android.mail,18/03/21,7396.0117,0.0
I love how easy it is to navigate my mail now. The folders I can make are wonderful. Highly recommend this email.,5,com.yahoo.mobile.client.android.mail,18/03/21,53.043304,89.39133911132812
Ok email,5,com.yahoo.mobile.client.android.mail,18/03/21,54893.168,0.0
Great,5,com.yahoo.mobile.client.android.mail,18/03/21,,0.0
Excelentes,5,com.yahoo.mobile.client.android.mail,18/03/21,3826.8154,0.0
"I have been using this app a few days, but I really like it. Sometimes it's a bit slow, but it is easy to use and allows for organized email.",5,com.yahoo.mobile.client.android.mail,18/03/21,15.529521,96.89409580230713
The best,5,com.yahoo.mobile.client.android.mail,18/03/21,816.8023,0.0
TOO MANY HOOPS TO JUMP THRU FOR VERIFICATION. BROKEN APP,3,com.yahoo.mobile.client.android.mail,18/03/21,138.28424,72.34315185546876
Yahoo has improved so much more,5,com.yahoo.mobile.client.android.mail,18/03/21,602.2401,0.0
Great functionality and stability!,5,com.yahoo.mobile.client.android.mail,18/03/21,329.81693,34.03661499023437
Great app!,5,com.yahoo.mobile.client.android.mail,18/03/21,801.17926,0.0
"I am using Yahoo mail from last 20 yrs ,good service and easy to understand format",5,com.yahoo.mobile.client.android.mail,18/03/21,196.0218,60.79563903808594
Well designed for lazy people! Very easy and convenience!,5,com.yahoo.mobile.client.android.mail,18/03/21,250.58661,49.88267822265625
Thank you Yahoo! Mail,5,com.yahoo.mobile.client.android.mail,18/03/21,416.23044,16.75391235351562
It's nice n good app.,5,com.yahoo.mobile.client.android.mail,18/03/21,835.40857,0.0
Too good,5,com.yahoo.mobile.client.android.mail,18/03/21,1322.1818,0.0
Great,5,com.yahoo.mobile.client.android.mail,18/03/21,,0.0
notices come in twice I only need them once,3,com.yahoo.mobile.client.android.mail,18/03/21,317.68497,36.463006591796876
Very easy to use,5,com.yahoo.mobile.client.android.mail,18/03/21,39.493572,92.10128555297852
"Have had it forever, has not let me down yet!.",5,com.yahoo.mobile.client.android.mail,18/03/21,137.47852,72.504296875
The best email provider in my eyes,5,com.yahoo.mobile.client.android.mail,18/03/21,364.23892,27.15221557617188
No issues. Works well,5,com.yahoo.mobile.client.android.mail,18/03/21,202.37714,59.524572753906256
Abcd,1,com.halfbrick.fruitninjafree,18/03/21,17190.537,0.0
Very user friendly and I feel that my information is secure,5,com.yahoo.mobile.client.android.mail,18/03/21,58.918587,88.21628265380859
This app used to be great but the last 3 days I have not been able access my emails. Everytime I try to open an email the app kicks me out. I have uninstalled and reinstalled the app but the same thing. Please fix this,2,com.yahoo.mobile.client.android.mail,18/03/21,20.257172,95.94856567382813
5 stars,5,com.yahoo.mobile.client.android.mail,18/03/21,19117.371,0.0
Very easy to use and understand,5,com.yahoo.mobile.client.android.mail,18/03/21,43.842632,91.23147354125976
Very seldom have trouble with it.,5,com.yahoo.mobile.client.android.mail,18/03/21,186.22968,62.75406494140625
Thank you so much. Free email apps.,5,com.yahoo.mobile.client.android.mail,18/03/21,151.53198,69.693603515625
Exelente,5,com.yahoo.mobile.client.android.mail,18/03/21,1059.7682,0.0
Excellent service,5,com.yahoo.mobile.client.android.mail,18/03/21,2776.618,0.0
"Works well, easy to use",5,com.yahoo.mobile.client.android.mail,18/03/21,49.710403,90.05791931152343
Thank you I appreciate this app its been a great tool for meI can always count on this app to work,5,com.yahoo.mobile.client.android.mail,18/03/21,48.445606,90.31087875366211
Useful,5,com.yahoo.mobile.client.android.mail,18/03/21,5724.321,0.0
So far no issues,5,com.yahoo.mobile.client.android.mail,18/03/21,843.7191,0.0
Good,5,com.yahoo.mobile.client.android.mail,18/03/21,,0.0
Too many advertisements. It's very annoying.,3,com.yahoo.mobile.client.android.mail,18/03/21,74.18521,85.16295776367187
Rubbish,1,com.yahoo.mobile.client.android.mail,18/03/21,72867.34,0.0
Happy,5,com.yahoo.mobile.client.android.mail,18/03/21,,0.0
Very interesting and convenient to use. Totally user friendly,5,com.yahoo.mobile.client.android.mail,18/03/21,87.830475,82.43390502929687
Very fantastics,5,com.badoo.mobile,18/03/21,12940.643,0.0
OK,4,com.yahoo.mobile.client.android.mail,18/03/21,,0.0
Great job Wii use it more!,4,com.yahoo.mobile.client.android.mail,18/03/21,1106.3157,0.0
Outstanding app,5,com.yahoo.mobile.client.android.mail,18/03/21,14338.281,0.0
"This app is extraordinary and very very helpful for daily day today life Sending group messages, informations, urgent and immediate details and very handy app for all ages and all times",5,com.yahoo.mobile.client.android.mail,18/03/21,276.21634,44.75673217773437
Very good,5,com.yahoo.mobile.client.android.mail,18/03/21,405.59375,18.881250000000005
Seems to have fewer glitches now,4,com.yahoo.mobile.client.android.mail,18/03/21,305.47342,38.90531616210937
Useless,1,com.yahoo.mobile.client.android.mail,18/03/21,69708.58,0.0
Amazing and win,5,com.yahoo.mobile.client.android.mail,18/03/21,1352.8091,0.0
Totoka,5,com.yahoo.mobile.client.android.mail,18/03/21,4086.363,0.0
Very reliable,5,com.yahoo.mobile.client.android.mail,18/03/21,9329.9375,0.0
Ad buttons are none responsive,1,com.yahoo.mobile.client.android.mail,18/03/21,7661.69,0.0
Ok,3,com.yahoo.mobile.client.android.mail,18/03/21,,0.0
Smooth,5,com.yahoo.mobile.client.android.mail,18/03/21,5115.056,0.0
I enjoy all that yahoo has to offer,5,com.yahoo.mobile.client.android.mail,18/03/21,73.04479,85.3910415649414
"You have Fixed Contacts save System, instead of Contacts List save as per our customised matched.",4,com.yahoo.mobile.client.android.mail,18/03/21,475.38586,4.922827148437503
Good then before though Improving slowly...,4,com.yahoo.mobile.client.android.mail,18/03/21,6259.768,0.0
Great tool to keep in touch with individuals and businesses,5,com.yahoo.mobile.client.android.mail,18/03/21,50.915676,89.81686477661133
Not for me.. too many ads. its distracts me too much. I forget why I opened my emails in the first place,3,com.yahoo.mobile.client.android.mail,18/03/21,56.608818,88.67823638916016
Highly appropriate and useful.,5,com.yahoo.mobile.client.android.mail,18/03/21,91.98684,81.60263214111329
"Your app keeps crapping out, I have to keep checking my emails constantly for new emails. The icon notifications will randomly show that I have emails. I can't open up my sent out email box. It keeps kicking me out of the app completely every time. I've uninstalled the app several times to refresh the app, I've cleaned out the caches several times. What is going on with this app?",1,com.yahoo.mobile.client.android.mail,18/03/21,35.073933,92.98521347045899
Great App!,5,com.yahoo.mobile.client.android.mail,18/03/21,2090.733,0.0
Good,5,com.yahoo.mobile.client.android.mail,18/03/21,,0.0
"I'm sick of it asking me to review it when I reviewed it years ago. Also, I now need a VPN to properly read my emails in China",4,com.yahoo.mobile.client.android.mail,18/03/21,47.723362,90.45532760620118
"I Love using yahoo mail. It's always been fun, convienient, and robust to use.",5,com.yahoo.mobile.client.android.mail,18/03/21,82.91165,83.41766967773438
